2279,2394
1350,1165
3122,1510
1357,1087
3015,2163
1998,1461
835,1922
1633,1644
2087,1061
2208,1231
3408,1114
3621,6295
1974,1070
984,2133
2966,2533
1629,2051
2172,1088
2614,1033
3144,1204
1125,3679
867,7022
1759,3074
2230,1824
1795,1032
1383,2384
2925,1459
3216,2510
1268,1382
1284,1075
3107,1324
1025,2231
3074,1369
3589,1548
2431,1268
2410,1269
1024,1081
2887,2487
1722,3910
2667,2069
3387,1366
2024,1072
1603,1342
2162,1105
2300,12151
2596,11499
3307,2615
2861,2503
1312,2714
1589,1626
826,1259
2031,1234
1949,18042
3433,7157
2670,5089
2042,2945
2107,1063
3199,2952
3411,2211
2324,4800
1667,1168
1771,1690
1994,1280
1015,1538
3460,1273
2874,1577
654,2610
2544,6125
3223,3508
2558,1849
3353,1273
1306,1198
3020,4825
1987,1182
2039,2034
2263,1926
1337,1153
2970,1295
1193,1755
723,1035
1129,3397
2580,2705
2579,3864
2061,1256
2594,4621
1411,1116
1930,2008
2303,1036
3226,2476
1614,4078
1584,1368
1570,1279
2621,3255
903,1068
2679,7848
1335,1178
3131,1981
2617,2361
3216,2382
2569,1633
2671,2634
2206,1060
2653,10166
2612,1064
2294,1325
2287,1660
2323,3999
2554,5245
2869,1642
2665,2521
3425,2141
2063,5047
2649,1790
1018,1119
997,1937
2159,1646
2113,4837
1111,1002
2933,1700
3276,2279
1813,2923
723,1208
2642,1045
838,1833
748,1072
2796,2745
3239,1297
1856,1790
1462,1649
3205,1229
3289,3806
2914,1639
2528,6084
1367,1978
2675,2330
1487,1011
2744,7737
656,1751
2435,3772
1825,1467
1672,3408
1351,1273
2611,1408
1568,1196
3579,1285
2302,1044
2235,3524
1448,1792
2203,1447
2221,1233
1970,2288
1348,1624
1293,2830
1824,1459
1381,2745
3270,1518
1306,1084
798,3042
3411,11032
2426,1668
2740,3523
1533,1554
2018,1342
1844,1580
3459,1663
1903,1410
1901,1719
2336,2626
3154,2206
2286,1127
2873,2459
3237,1057
1935,3137
3505,1433
1891,1418
1874,2720
2849,3588
1476,1289
1094,2694
3120,3176
2530,1136
3271,4765
943,3312
3002,1135
1704,4247
2465,9276
2085,2674
2233,1064
3624,5775
2581,2803
1075,1213
2472,2926
1839,1392
2819,1779
1814,6570
2371,11319
1159,1272
2532,2259
1437,1027
982,2037
1427,1080
3014,4925
2210,1998
2215,2333
1613,2719
1229,2453
3236,2083
2182,1554
2431,2578
2522,1968
2056,1997
1801,1312
2304,2857
1689,1580
1729,5706
2684,2249
1930,1308
2867,2541
2640,4099
2761,1717
2447,2203
2502,1362
2477,1235
793,1002
2530,2238
1689,1396
1460,2044
2060,1529
484,1070
1761,1420
3624,1936
1549,2876
1730,1130
2862,5230
2057,4022
1837,2297
2464,1694
2874,1605
2550,9820
1462,1278
3341,1179
1395,3449
1605,1382
3207,2334
3429,5038
2001,1348
3492,1524
2869,1645
1701,1507
3208,2481
3624,1005
2346,1159
1571,1471
2493,4389
2010,4197
2234,1631
1529,5163
1524,1053
2383,1735
2563,1230
2482,1326
1932,6592
2975,1995
1433,1639
2992,3275
2242,1232
963,2266
3239,3879
2859,1589
3624,2467
3452,1705
2534,1782
