516,-759
4,2987
1,-10
1,57
4,-4
4,4644
3,442
62,5503
3,8981
17,4790
3,-1
1,-11
49,-23
1,5416
4,-12
239,1271
1,1
2,33
8,-7
14,-19
344,-185
1,1685
2,-1
2,4
1,127
1,-1
6,252
8,-17
5,-3
71,-65
1,2517
4,981
1,39
4,4373
154,2951
1,19433
1,-17
4,662
1,0
4,19434
1,6655
1,19438
2,0
2,153
2,7105
1,28
123,1163
1,-8
1,32655
2,-12
3,430
10,11
3,-2
1,-24
2,891
116,5
3,613
2,39
4,135
20,32740
1,0
2,-1
3,4682
8,112
1,-57
4,38774
2,-1
1,-2
2,-1
1,-1
5,8393
118,5687
4,36218
1,198
2,56
3,143
1,-759
1,9119
2,8771
1,-758
2,1
22,13287
1,38
1,8773
2,1582
166,333
2,948
3,2766
3,302
3,20
1,60
1,146
1,200
1,147
3,-2
2,-1
12,357
2,1824
2,592
92,814
3,-75
1,-16
11,-9
21,-4
1,0
4,6
5,1
3,-1
1,-16
2,5652
4,105
4,10
1,-51
4,3519
12,4612
3,77
1,-18
1,-31
2,-1
3,15908
3,1114
1,0
1,-325
36,306
1,19439
1,15
1,-42
20,336
13,-21
4,576
19,-9
2,3574
1,42
3,1667
2,-356
2,-4
4,2689
1,-2
4,1826
1,-12
3,342
1,-7
3,345
2,89
2,65
1,0
2,-757
11,-755
2,146
4,1052
3,148
3,65
13,211
3,7613
2,6
2,151
2,8
1,11427
2,-2
1,1353
1,-8
2,99
1,4889
4,534
3,26
256,5390
3,16452
2,4890
1,-1
1,0
1,-37
3,1661
1,58
7,16455
2,16462
10,371
6,1010
7,12286
3,1477
4,754
1,0
10,564
2,16464
6,36
25,23
75,26241
3,26316
8,72
3,4
6,27
4,6602
4,2484
4,-1
12,-354
4,144
16,2446
142,327
2,0
25,19440
2,103
8,553
77,215
2,34356
1,-10
2,-9
2,2764
1,74
1,465
3,34358
2,8667
3,-2
12,38778
1,0
3,49
4,8669
66,-32
3,533
3,76741
2,224
20,-95
2,348
2,286
2,679
54,1422
69,14
1,103
3,74
8,-57
2,-76
2,970
1,8357
67,276
8,-6
1,-15
4,18668
149,-84
1,0
1,-230
1,-1
3,-2
2,-1
1,314
3,650
8,392
3,1633
1,40
5,180
3,13
1,0
1,-2
1,1070
5,1488
1,-12
1,1493
1,-12
2,2660
25,972
99,6365
1,1878
2,6464
2,59
2,22074
1,16971
37,2040
2,1984
3,721
1,22110
34,22076
2,7727
24,22111
1,963
1,-12
1,-50
4,0
3,203
2,10
1,-5
1,17
5,567
7,36222
18,7729
2,196
6,10582
3,10588
1,-12
123,7747
2,0
2,24
2,27743
1,-23
1,7870
1,34
36,1494
5,27745
4,1530
96,21174
3,8358
15,284
87,-243
1,120
2,9405
3,7871
2,633
8,28672
1,0
1,3105
5,1534
31,28680
3,7874
2,2243
1,8
1,486
1,0
1,-19
73,124
4,530
1,9
4,1246
1,689
3,103
74,4483
1,10
2,11
31,517
2,13
256,-474
1,15
103,20158
3,16
1,-211
1,19
2,20261
2,1539
1,20
4,1056
1,-8
1,-7
1,21
3,745
29,22
1,51
25,746
1,4685
1,52
2,7877
35,5161
1,0
5,7879
1,53
1,-22
2,54
223,32896
2,56
319,7884
13,-2
2,60
4,4557
82,3775
1,58
1,59
2,109
1,60
1,-4
1,-1061
1,61
1,25578
1,-41
1,-36
3,-4
6,1908
1,8785
30,466
1,-2
3,27753
3,27750
3,368
62,8311
3,16972
1,-27
3,60075
2,913
4,1310
1,101
214,-1060
1,60078
5,15
1,0
4,292
145,5565
2,-840
2,-846
3,-838
4,-844
94,3950
6,4561
6,-835
2,505
125,-49
2,29
1,738
4,-829
1,3398
1,0
12,117
94,316
13,7183
2,1830
4,536
94,828
1,-11
1,-8
1,3183
3,44674
3,-16
3,43
3,471
2,5
1,0
14,146
83,1827
5,149
3,229
1,-22
1,-4
1,-7
9,-399
38,-8
12,17
1,-2
3,-4
1,14
1,0
4,17643
1,2
67,-6
4,-3
3,232
6,10
10,950
2,235
1,1
5,43
178,-53
44,8673
65,-19
2,237
1,-56
1,802
1,-20
1,-60
2,-825
12,10591
1,-1
3,-823
65,91
51,5710
1,4
222,1430
2,2727
1,2
3,18
1,21
3,-1
1,2676
1,0
2,4567
1,40960
1,-3
31,16467
1,16466
133,-57
7,-156
3,278
4,-3
1,16498
1,-9
1,16499
1,-4
3,102
1,-1
1,-1
2,880
1,1991
1,1091
1,-30
2,324
153,-99
1,294
1,-74
4,52
20,-4
4,4377
1,594
9,130
4,14
1,769
1,774
1,-2
1,-20
1,-6
1,43
1,445
1,26319
3,107
3,-3
4,1578
3,-5
4,-2
6,1331
3,620
1,-1
1,-72
1,1
4,40
4,1992
4,260
1,-22
3,-324
150,1060
2,5185
1,1210
3,-321
1,-318
1,-7
2,-7
3,-10
8,-1
3,1256
4,26173
3,-744
209,26177
1,-12
1,-11
1,-741
3,229
1,0
1,4
1,-14
1,-23
1,-15
4,175
162,-149
3,250
3,78
1,-27
1,-59
32,-13
1,2729
58,4381
303,-22
15,428
71,-42
1,34
7,462
3,27
3,1659
1,-5
1,419
1,0
1,-35
1,10708
1,21
35,-16
1,450
1,1662
3,30
1,0
1,12
2,1652
1,23806
2,-820
2,2608
1,108
1,1
1,-16
1,236
1,474
2,1478
1,116
1,102
46,2642
1,-818
4,405
1,59
5,-817
1,-55
14,368
42,4037
2,32656
112,1075
1,-10
2,113
3,1355
2,790
1,230
3,5
1,-3
1,-2
1,-11
1,0
1,339
3,26387
1,26386
1,1
289,3834
1,80
1,-10
38,827
2,146
1,191
27,865
6,-314
9,426
4,-308
3,-317
4,305
338,-740
1,-402
2,764
3,2
1,340
10,311
6,22135
2,1187
2,611
1,16975
2,5417
275,14378
1,-58
2,534
2,23
4,3645
4,4044
1,0
3,190
20,892
3,2462
33,1832
1,0
40,5243
4,12
3,-8
5,-8
2,3
1,46
1,2285
1,-1
1,2465
1,132
1,-49
1,-18
2,26
1,-6
3,6534
1,-5
3,1996
4,-4
1,-6
3,61
1,2534
1,30
1,-1
1,0
5,137
1,2
5,204
7,-3
3,-2
2,231
1,0
33,26320
63,3576
1,-2
2,2245
72,4715
1,64
1,609
1,57
1,5038
1,-15
2,148
1,22141
1,1865
2,-1
2,1866
2,0
1,-54
2,-1
1,-3
122,1081
5,1
1,1868
1,182
2,734
4,595
3,2662
2,2301
4,36229
2,-6
2,232
2,139
1,-40
2,491
10,2408
1,8203
4,4381
1,2
3,2592
1,191
154,77
82,1223
1,8204
2,1802
1,1
1,1910
100,9003
2,15
5,234
4,239
1,243
1,244
2,-1
71,4074
2,5981
1,-9
2,1611
4,-2
1,81
2,-4
3,1
1,4145
1,-4
30,28711
1,245
33,18672
2,29
109,28741
1,-1
3,4908
2,4061
33,2155
40,310
26,482
3,23807
2,274
2,2068
3,41127
2,12545
1,160
2,-4
3,350
2,279
15,117
4,-33
3,4779
1,86
1,1243
2,38790
2,109
1,1211
12,-29
31,-19
1,1999
2,4787
2,258
26,-16
1,0
1,26390
3,26391
2,10603
4,8717
1,0
17,128
2,47
4,12
1,41
48,83331
2,83379
3,1758
262,34361
19,255
1,-57
2,4
4,146
17,60079
1,29
1,0
1,-17
4,299
3,635
14,1
1,-4
1,638
2,4300
6,-4
3,4569
3,1030
106,788
1,26353
1,26354
1,60
1,-48
1,472
357,402
27,7285
2,476
1,162
12,8205
1,6
1,1424
1,-39
1,1578
6,28
1,-5
1,256
15,2587
2,140
66,-21
1,26
1,490
1,-10
2,340
111,801
4,255
309,3140
3,-17
1,1211
1,-1
2,20263
5,109
1,0
1,46
9,178
1,1638
10,1087
1,8361
2,26394
1,-1
