8,1
302,1
2015,1
27657,1
0,1
27366,1
2,1
27365,1
1681,1
0,1
11,1
113,1
0,1
403,1
4369,1
5056,1
0,1
9555,1
56588,1
0,1
3275,2
97,1
0,1
5229,1
1592,2
958,2
12,1
1,1
0,1
697,2
0,1
14,1
5202,1
3,1
0,1
128,4
0,2
1,1
0,1
957,1
1084,60
542,1
0,1
20,1
6421,3
6348,1
17,1
2231,2
1710,3
4119,2
-5,1
2199,2
10531,1
156,35
-2,3
853,2
0,1
3083,2
469,1
151,1
10998,1
0,1
0,1
139,2
0,1
-2,3
-1,1
0,1
79,2
389,10
185,3
634,1
-1,1
211,14
332,5
331,1
1235,3
0,1
3548,2
-2,3
2700,2
77,3
-1,2
351,4
3,1
40,1
39,1
37,2
9216,15
9214,2
-2,3
0,1
213,2
493,1
486,7
21067,3
0,1
246,2
10996,2
0,1
13,2
0,1
1615,5
0,1
0,1
137,2
26214,1
0,1
2225,6
0,1
-2,2
0,1
2196,3
70,50
-3,4
-8,9
0,1
-1,1
14626,3
23,3
9553,2
11228,4
0,1
0,1
-10,52
212,2
16,3
34,3
2925,3
413,2
3481,1
320,2
324,2
0,1
0,1
-1,2
181,6
15,1
10972,24
11225,3
2328,18
691,76
0,1
0,1
0,1
5066,126
36,3
0,1
0,2
0,1
383,4
967,17
966,1
965,1
2,2
91,3
637,2
-1,1
1856,2
916,20
0,1
293,4
779,2
12652,5
1775,1
15,1
2560,2
9655,8
2990,1
-1,1
-1,2
0,1
27363,2
9624,31
366,2
27357,6
47752,77
216,1
0,1
0,1
3740,2
3161,1
34083,33
9388,10
3144,2
12,4
7732,2
317,2
7565,15
0,1
634,1
27,3
71,1
482,4
4473,9
0,1
223,1
7874,1
9385,3
1467,5
21,2
7857,17
3243,1
10525,3
7854,3
1032,3
11,1
3021,15
2441,103
0,1
0,1
3141,3
6985,2
-1,2
33088,5
867,2
220,13
-3,57
1269,15
1173,3
136,3
1,1
1575,25
129,12
30033,4
10962,10
1708,2
711,2
-1,4
555,2
721,1
3,1
21,2
1369,6
2201,222
775,4
78016,16
1833,6
1250,3
0,1
-8,15
2218,5
32849,2
3437,1
0,1
624,2
269,5
5591,1
5590,1
5589,1
3139,2
744,1
5588,1
268,3
586,1
5586,2
5582,4
23791,1
3,8
9622,2
829,1
214,4
7852,2
17061,1
1505,1
23,1
1650,3
298,1
49,1
33769,7
36,1
0,1
70,1
909,2
2,1
0,1
1649,1
72,2
517,1
41,1
288,92
0,1
2902,23
9608,3
324,2
9621,1
98,3
-10,41
3470,3
10921,41
2507,6
1122,4
7851,1
1365,4
1244,3
219,2
728,1
0,1
1306,101
1422,2
30039,1
8,1
1323,8
6,2
108,3
0,1
335,1
7486,79
14625,1
0,1
0,1
60,1
11,1
8,13
522,1
30,21
47749,3
1,1
24,3
